Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Winch, Joel C. C.",https://www.fjc.gov/history/judges/winch-joel-c-c,history/judges/winch-joel-c-c,['1835'],[],[],['1880'],"['Read law, 1858']",[],[]
"Morrill, Amos",https://www.fjc.gov/history/judges/morrill-amos,history/judges/morrill-amos,['1809'],"['February 5, 1872']",['U.S. District Court for the Eastern District of Texas'],['1884'],"['Bowdoin College, 1834Read law, 1836']",['Ulysses Grant'],['retirement']
"McCormick, Andrew Phelps",https://www.fjc.gov/history/judges/mccormick-andrew-phelps,history/judges/mccormick-andrew-phelps,['1832'],"['April 10, 1879', 'March 17, 1892', 'March 17, 1892']",['U.S. District Court for the Northern District of Texas'],['1916'],"['Centre College, A.B., 1854Read law, 1855']","['Rutherford B. Hayes', 'Benjamin Harrison', 'Benjamin Harrison']","['appointment to another judicial position.Judge, U.S. Circuit Courts for the Fifth CircuitNominated by Benjamin Harrison on January 5, 1892, to a new seat authorized by 26 Stat. 826. Confirmed by the Senate on March 17, 1892, and received commission on March 17, 1892. Service terminated on December 31, 1911, due to abolition of the court.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Benjamin Harrison on January 5, 1892, to a new seat authorized by 26 Stat. 826. Confirmed by the Senate on March 17, 1892, and received commission on March 17, 1892. Service terminated on November 2, 1916, due to death']"
"Turner, Ezekiel B.",https://www.fjc.gov/history/judges/turner-ezekiel-b,history/judges/turner-ezekiel-b,['1825'],"['December 20, 1880']",[],['1888'],"['Read law, 1848']",[],['death']
"Sabin, Chauncey Brewer",https://www.fjc.gov/history/judges/sabin-chauncey-brewer,history/judges/sabin-chauncey-brewer,['1824'],"['April 5, 1884']",['U.S. District Court for the Eastern District of Texas'],['1890'],"['Read law, 1846']",['Chester A. Arthur'],['death']
"Maxey, Thomas Sheldon",https://www.fjc.gov/history/judges/maxey-thomas-sheldon,history/judges/maxey-thomas-sheldon,['1846'],"['June 25, 1888']",['U.S. District Court for the Western District of Texas'],['1921'],"['University of Virginia School of Law, LL.B., 1869']",['Grover Cleveland'],['retirement']
"Bryant, David Ezekiel",https://www.fjc.gov/history/judges/bryant-david-ezekiel,history/judges/bryant-david-ezekiel,['1849'],"['May 27, 1890']",['U.S. District Court for the Eastern District of Texas'],['1910'],"['Trinity College (now Duke University), A.B., 1871Read law, 1873']",['Benjamin Harrison'],['death']
"Rector, John B.",https://www.fjc.gov/history/judges/rector-john-b,history/judges/rector-john-b,['1837'],"['March 28, 1892']",['U.S. District Court for the Northern District of Texas'],['1898'],"['Yale College, 1859Read law, 1860']",['Benjamin Harrison'],['death']
"Meek, Edward Roscoe",https://www.fjc.gov/history/judges/meek-edward-roscoe,history/judges/meek-edward-roscoe,['1865'],"['February 15, 1899']",[],['1939'],"['University of Iowa, A.B., 1887University of Iowa College of Law, LL.B., 1889University of Iowa, A.M., 1891']",[],['death']
"Burns, Waller Thomas",https://www.fjc.gov/history/judges/burns-waller-thomas,history/judges/burns-waller-thomas,['1858'],"['April 24, 1902']",['U.S. District Court for the Southern District of Texas'],['1917'],[],['Theodore Roosevelt'],[]
"Russell, Gordon James",https://www.fjc.gov/history/judges/russell-gordon-james,history/judges/russell-gordon-james,['1859'],"['June 6, 1910']",['U.S. District Court for the Eastern District of Texas'],['1919'],"['Read law, 1877University of Georgia, A.B., 1877']",['William H. Taft'],['death']
"West, DuVal",https://www.fjc.gov/history/judges/west-duval,history/judges/west-duval,['1861'],"['December 21, 1916']",['U.S. District Court for the Western District of Texas'],['1949'],"['West Texas Military Academy (now Texas Military Institute)Cumberland School of Law, LL.B., 1890']",['Woodrow Wilson'],['death']
"Smith, William Robert, Sr.",https://www.fjc.gov/history/judges/smith-william-robert-sr,history/judges/smith-william-robert-sr,['1863'],"['April 12, 1917']",['U.S. District Court for the Western District of Texas'],['1924'],"['Sam Houston Normal Institute, 1883Read law, 1885']",['Woodrow Wilson'],['death']
"Hutcheson, Joseph Chappell, Jr.",https://www.fjc.gov/history/judges/hutcheson-joseph-chappell-jr,history/judges/hutcheson-joseph-chappell-jr,['1879'],"['April 6, 1918', 'January 13, 1931']",['U.S. District Court for the Southern District of Texas'],['1973'],"['University of Texas School of Law, LL.B., 1900']","['Woodrow Wilson', 'Herbert Hoover']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Herbert Hoover on December 20, 1930, to a new seat authorized by 46 Stat. 538. Confirmed by the Senate on January 13, 1931, and received commission on January 26, 1931. Served as chief judge, 1948-1959. Assumed senior status on November 4, 1964. Service terminated on January 18, 1973, due to death']"
"Wilson, James Clifton",https://www.fjc.gov/history/judges/wilson-james-clifton,history/judges/wilson-james-clifton,['1874'],"['June 24, 1919']",[],['1951'],"['Weatherford College, 1889University of Texas School of Law, LL.B., 1896']",[],['death']
"Estes, William Lee",https://www.fjc.gov/history/judges/estes-william-lee,history/judges/estes-william-lee,['1870'],"['February 18, 1920']",['U.S. District Court for the Eastern District of Texas'],[],"['Hampden-Sydney College, A.B., 1891University of Texas School of Law, LL.B., 1893']",['Woodrow Wilson'],['death']
"Atwell, William Hawley",https://www.fjc.gov/history/judges/atwell-william-hawley,history/judges/atwell-william-hawley,['1869'],"['January 9, 1923']",['U.S. District Court for the Northern District of Texas'],[],"['Southwestern University, A.B., B.S., 1889University of Texas School of Law, LL.B., 1891']",['Warren G. Harding'],['death']
"Boynton, Charles Albert",https://www.fjc.gov/history/judges/boynton-charles-albert,history/judges/boynton-charles-albert,['1867'],"['December 17, 1924']",['U.S. District Court for the Western District of Texas'],['1954'],"['Glasgow Normal School (now University of Western Kentucky), B.B.S., 1888University of Michigan Law School, LL.B., 1891']",['Calvin Coolidge'],['death']
"Bryant, Randolph",https://www.fjc.gov/history/judges/bryant-randolph,history/judges/bryant-randolph,['1893'],"['January 13, 1931']",['U.S. District Court for the Eastern District of Texas'],[],"['University of Texas, B.A., 1913University of Texas School of Law, LL.B., 1916']",['Herbert Hoover'],['death']
"Kennerly, Thomas Martin",https://www.fjc.gov/history/judges/kennerly-thomas-martin,history/judges/kennerly-thomas-martin,['1874'],"['February 4, 1931']",['U.S. District Court for the Southern District of Texas'],['1962'],"['Read law, 1893']",['Herbert Hoover'],"['death.Other Federal Judicial Service:Referee in Bankruptcy, Southern District of Texas, 1903-190']"
"McMillan, Robert Johnston",https://www.fjc.gov/history/judges/mcmillan-robert-johnston,history/judges/mcmillan-robert-johnston,['1885'],"['January 12, 1932']",['U.S. District Court for the Western District of Texas'],['1941'],"['University of Texas School of Law, LL.B., 1906']",['Herbert Hoover'],['death']
"Davidson, Thomas Whitfield",https://www.fjc.gov/history/judges/davidson-thomas-whitfield,history/judges/davidson-thomas-whitfield,['1876'],"['January 30, 1936']",['U.S. District Court for the Northern District of Texas'],[],"['Read law, 1903']",['Franklin D. Roosevelt'],['death']
"Allred, James V.",https://www.fjc.gov/history/judges/allred-james-v,history/judges/allred-james-v,['1899'],"['February 16, 1939', 'October 12, 1949']",['U.S. District Court for the Southern District of Texas'],['1959'],"['Cumberland School of Law, LL.B., 1921']","['Franklin D. Roosevelt', 'Harry S Truman']","['resignation.Judge, U.S. District Court for the Southern District of TexasNominated by Harry S Truman on September 23, 1949, to a new seat authorized by 63 Stat. 493. Confirmed by the Senate on October 12, 1949, and received commission on October 13, 1949. Service terminated on September 24, 1959, due to death']"
"Keeling, Walter Angus",https://www.fjc.gov/history/judges/keeling-walter-angus,history/judges/keeling-walter-angus,['1873'],"['January 26, 1942']",['U.S. District Court for the Western District of Texas'],['1945'],"['University of Texas School of Law, LL.B., 1897']",['Franklin D. Roosevelt'],['death']
"Hannay, Allen Burroughs",https://www.fjc.gov/history/judges/hannay-allen-burroughs,history/judges/hannay-allen-burroughs,['1892'],"['August 6, 1942']",['U.S. District Court for the Southern District of Texas'],['1983'],"['University of Texas School of Law, LL.B., 1913']",['Franklin D. Roosevelt'],['death']
"Rice, Ben Herbert, Jr.",https://www.fjc.gov/history/judges/rice-ben-herbert-jr,history/judges/rice-ben-herbert-jr,['1889'],"['September 19, 1945']",['U.S. District Court for the Western District of Texas'],['1964'],"['University of Texas School of Law, LL.B., 1913University of Texas, B.A., 1914University of Texas School of Law, LL.M., 1914']",['Harry S Truman'],['death']
"Thomason, Robert Ewing",https://www.fjc.gov/history/judges/thomason-robert-ewing,history/judges/thomason-robert-ewing,['1879'],"['June 3, 1947']",['U.S. District Court for the Western District of Texas'],['1973'],"['Southwestern University, B.S., 1898University of Texas School of Law, LL.B., 1900']",['Harry S Truman'],['death']
"Dooley, Joseph Brannon",https://www.fjc.gov/history/judges/dooley-joseph-brannon,history/judges/dooley-joseph-brannon,['1889'],"['July 8, 1947']",['U.S. District Court for the Northern District of Texas'],[],"['University of Texas School of Law, LL.B., 1911']",['Harry S Truman'],['death']
"Connally, Ben Clarkson",https://www.fjc.gov/history/judges/connally-ben-clarkson,history/judges/connally-ben-clarkson,['1909'],"['October 12, 1949']",['U.S. District Court for the Southern District of Texas'],[],"['University of Texas, B.A., 1930University of Texas School of Law, LL.B., 1933Harvard Law School, LL.M., 1934']",['Harry S Truman'],['death']
