Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Augelli, Anthony Thomas",https://www.fjc.gov/history/judges/augelli-anthony-thomas,history/judges/augelli-anthony-thomas,['1902'],"['September 21, 1961']",['U.S. District Court for the District of New Jersey'],['1985'],"['New Jersey Law School (now Rutgers School of Law -- Newark), LL.B., 1929Mercer Beasley School of Law (now Rutgers School of Law -- Newark), LL.M., 1934']",['John F. Kennedy'],['resignation']
"Coolahan, James Aloysius",https://www.fjc.gov/history/judges/coolahan-james-aloysius,history/judges/coolahan-james-aloysius,['1903'],"['April 2, 1962']",['U.S. District Court for the District of New Jersey'],['1986'],"['New Jersey Law School (now Rutgers School of Law -- Newark), LL.B., 1925']",['John F. Kennedy'],['death']
"Shaw, Robert",https://www.fjc.gov/history/judges/shaw-robert,history/judges/shaw-robert,['1907'],"['April 11, 1962']",['U.S. District Court for the District of New Jersey'],[],"['New Jersey Law School (now Rutgers School of Law -- Newark), LL.B., 1932']",['John F. Kennedy'],['death']
"Cohen, Mitchell Harry",https://www.fjc.gov/history/judges/cohen-mitchell-harry,history/judges/cohen-mitchell-harry,['1904'],"['August 1, 1962']",['U.S. District Court for the District of New Jersey'],['1991'],"['Dickinson School of Law, LL.B., 1928']",['John F. Kennedy'],['death']
"Whipple, Lawrence Aloysius",https://www.fjc.gov/history/judges/whipple-lawrence-aloysius,history/judges/whipple-lawrence-aloysius,['1910'],"['October 12, 1967']",['U.S. District Court for the District of New Jersey'],['1983'],"['Columbia University, B.S., 1933John Marshall Law School, Jersey City, New Jersey, LL.B., 1939']",['Lyndon B. Johnson'],"['certified disability on September 1, 1978. Service terminated on June 8, 1983, due to death']"
"Garth, Leonard I.",https://www.fjc.gov/history/judges/garth-leonard-i,history/judges/garth-leonard-i,['1921'],"['December 17, 1969', 'August 3, 1973']",['U.S. District Court for the District of New Jersey'],[],"['Columbia University, B.A., 1942Harvard Law School, LL.B., 1952']","['Richard M. Nixon', 'Richard M. Nixon']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Third CircuitNominated by Richard M. Nixon on July 19, 1973, to a seat vacated by James Rosen. Confirmed by the Senate on August 3, 1973, and received commission on August 6, 1973. Assumed senior status on June 30, 1986. Service terminated on September 22, 2016, due to death']"
"Barlow, George Herbert",https://www.fjc.gov/history/judges/barlow-george-herbert,history/judges/barlow-george-herbert,['1921'],"['December 17, 1969']",['U.S. District Court for the District of New Jersey'],[],"['Dartmouth College, B.A., 1943Rutgers School of Law -- Newark, LL.B., 1948']",['Richard M. Nixon'],"['death.Other Federal Judicial Service:U.S. Commissioner, U.S. District Court for the District of New Jersey, 1956-196']"
"Kitchen, John Joseph",https://www.fjc.gov/history/judges/kitchen-john-joseph,history/judges/kitchen-john-joseph,['1911'],"['October 13, 1970']",['U.S. District Court for the District of New Jersey'],[],"['University of Pennsylvania, A.B., 1933South Jersey Law School (now Rutgers School of Law -- Camden), LL.B., 1937']",['Richard M. Nixon'],['death']
"Fisher, Clarkson Sherman",https://www.fjc.gov/history/judges/fisher-clarkson-sherman,history/judges/fisher-clarkson-sherman,['1921'],"['October 13, 1970']",['U.S. District Court for the District of New Jersey'],['1997'],"['Notre Dame Law School, LL.B., 1950']",['Richard M. Nixon'],['death']
"Lacey, Frederick Bernard",https://www.fjc.gov/history/judges/lacey-frederick-bernard,history/judges/lacey-frederick-bernard,['1920'],"['October 13, 1970']",['U.S. District Court for the District of New Jersey'],['2017'],"['Rutgers University, A.B., 1941Cornell Law School, LL.B., 1948']",['Richard M. Nixon'],"['retirement.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1978-1986Judge, Foreign Intelligence Surveillance Court, 1979-198']"
"Biunno, Vincent Pasquale",https://www.fjc.gov/history/judges/biunno-vincent-pasquale,history/judges/biunno-vincent-pasquale,['1916'],"['April 10, 1973']",['U.S. District Court for the District of New Jersey'],['1991'],"['New Jersey Law School (now Rutgers School of Law -- Newark), LL.B., 1937']",['Richard M. Nixon'],"['certified disability on March 23, 1982. Service terminated on July 30, 1991, due to death']"
"Stern, Herbert Jay",https://www.fjc.gov/history/judges/stern-herbert-jay,history/judges/stern-herbert-jay,['1936'],"['December 19, 1973']",['U.S. District Court for the District of New Jersey'],[],"['Hobart College, B.A., 1958University of Chicago Law School, J.D., 1961']",['Richard M. Nixon'],['resignation']
"Meanor, Henry Curtis",https://www.fjc.gov/history/judges/meanor-henry-curtis,history/judges/meanor-henry-curtis,['1929'],"['June 13, 1974']",['U.S. District Court for the District of New Jersey'],['2008'],"['Rutgers University, B.A., 1952Rutgers School of Law -- Newark, LL.B., 1955']",['Richard M. Nixon'],['resignation']
"Gerry, John Francis",https://www.fjc.gov/history/judges/gerry-john-francis,history/judges/gerry-john-francis,['1925'],"['December 18, 1974']",['U.S. District Court for the District of New Jersey'],[],"['Princeton University, A.B., 1950Harvard Law School, LL.B., 1953']",['Gerald Ford'],['death']
"Brotman, Stanley Seymour",https://www.fjc.gov/history/judges/brotman-stanley-seymour,history/judges/brotman-stanley-seymour,['1924'],"['March 13, 1975']",['U.S. District Court for the District of New Jersey'],['2014'],"['Yale University, B.A., 1947Harvard Law School, LL.B., 1950']",['Gerald Ford'],"['death.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 1997-200']"
"Debevoise, Dickinson Richards",https://www.fjc.gov/history/judges/debevoise-dickinson-richards,history/judges/debevoise-dickinson-richards,['1924'],"['October 31, 1979']",['U.S. District Court for the District of New Jersey'],['2015'],"['Williams College, B.A., 1948Columbia Law School, LL.B., 1951']",['Jimmy Carter'],['death']
"Sarokin, H. Lee",https://www.fjc.gov/history/judges/sarokin-h-lee,history/judges/sarokin-h-lee,['1928'],"['October 31, 1979', 'October 4, 1994']",['U.S. District Court for the District of New Jersey'],[],"['Dartmouth College, A.B., 1950Harvard Law School, LL.B., 1953']","['Jimmy Carter', 'William J. Clinton']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Third CircuitNominated by William J. Clinton on May 5, 1994, to a new seat authorized by 104 Stat. 5089. Confirmed by the Senate on October 4, 1994, and received commission on October 5, 1994. Service terminated on July 31, 1996, due to retirement']"
"Ackerman, Harold Arnold",https://www.fjc.gov/history/judges/ackerman-harold-arnold,history/judges/ackerman-harold-arnold,['1928'],"['October 31, 1979']",['U.S. District Court for the District of New Jersey'],['2009'],"['Rutgers School of Law -- Newark, LL.B., 1951']",['Jimmy Carter'],['death']
"Thompson, Anne Elise",https://www.fjc.gov/history/judges/thompson-anne-elise,history/judges/thompson-anne-elise,['1934'],"['October 31, 1979']",['U.S. District Court for the District of New Jersey'],[],"['Howard University, B.A., 1955Temple University, M.A., 1957Howard University School of Law, LL.B., 1964']",['Jimmy Carter'],[]
"Bissell, John Winslow",https://www.fjc.gov/history/judges/bissell-john-winslow,history/judges/bissell-john-winslow,['1940'],"['December 10, 1982']",['U.S. District Court for the District of New Jersey'],[],"['Princeton University, A.B., 1962University of Virginia School of Law, LL.B., 1965']",['Ronald Reagan'],['retirement']
"Barry, Maryanne Trump",https://www.fjc.gov/history/judges/barry-maryanne-trump,history/judges/barry-maryanne-trump,['1937'],"['October 6, 1983', 'September 13, 1999']",['U.S. District Court for the District of New Jersey'],[],"['Mount Holyoke College, B.A., 1958Columbia University, M.A., 1962Hofstra University School of Law, J.D., 1974']","['Ronald Reagan', 'William J. Clinton']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Third CircuitNominated by William J. Clinton on June 17, 1999, to a seat vacated by H. Lee Sarokin. Confirmed by the Senate on September 13, 1999, and received commission on September 22, 1999. Assumed senior status on June 30, 2011. Service terminated on February 11, 2019, due to retirement']"
"Rodriguez, Joseph H.",https://www.fjc.gov/history/judges/rodriguez-joseph-h,history/judges/rodriguez-joseph-h,['1930'],"['May 3, 1985']",['U.S. District Court for the District of New Jersey'],[],"['La Salle University, A.B., 1955Rutgers School of Law -- Camden, LL.B., 1958']",['Ronald Reagan'],[]
"Cowen, Robert E.",https://www.fjc.gov/history/judges/cowen-robert-e,history/judges/cowen-robert-e,['1930'],"['November 1, 1985', 'November 6, 1987']",['U.S. District Court for the District of New Jersey'],[],"['Drake University, B.S., 1952Rutgers School of Law -- Newark, LL.B., 1958']","['Ronald Reagan', 'Ronald Reagan']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Third CircuitNominated by Ronald Reagan on August 7, 1987, to a seat vacated by James Hunter, III. Confirmed by the Senate on November 6, 1987, and received commission on November 9, 1987. Assumed senior status on September 4, 1998. Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the District of New Jersey, 1978-198']"
"Brown, Garrett E., Jr.",https://www.fjc.gov/history/judges/brown-garrett-e-jr,history/judges/brown-garrett-e-jr,['1943'],"['December 16, 1985']",['U.S. District Court for the District of New Jersey'],[],"['Lafayette College, A.B., 1965Duke University School of Law, J.D., 1968']",['Ronald Reagan'],['retirement']
"Lechner, Alfred James, Jr.",https://www.fjc.gov/history/judges/lechner-alfred-james-jr,history/judges/lechner-alfred-james-jr,['1948'],"['June 6, 1986']",['U.S. District Court for the District of New Jersey'],[],"['Xavier University, Ohio, B.S., 1969Notre Dame Law School, J.D., 1972']",['Ronald Reagan'],['resignation']
"Politan, Nicholas H.",https://www.fjc.gov/history/judges/politan-nicholas-h,history/judges/politan-nicholas-h,['1935'],"['November 6, 1987']",['U.S. District Court for the District of New Jersey'],['2012'],"['Rutgers University, A.B., 1957Rutgers School of Law -- Newark, LL.B., 1960']",['Ronald Reagan'],['retirement']
"Wolin, Alfred M.",https://www.fjc.gov/history/judges/wolin-alfred-m,history/judges/wolin-alfred-m,['1932'],"['December 8, 1987']",['U.S. District Court for the District of New Jersey'],[],"['University of Michigan, B.A., 1954Rutgers School of Law -- Newark, J.D., 1959']",['Ronald Reagan'],"['retirement.Other Federal Judicial Service:Judge, Alien Terrorist Removal Court, 1996-200']"
"Lifland, John C.",https://www.fjc.gov/history/judges/lifland-john-c,history/judges/lifland-john-c,['1933'],"['May 19, 1988']",['U.S. District Court for the District of New Jersey'],[],"['Yale University, B.A., 1954Harvard Law School, LL.B., 1957']",['Ronald Reagan'],['retirement']
"Bassler, William G.",https://www.fjc.gov/history/judges/bassler-william-g,history/judges/bassler-william-g,['1938'],"['September 12, 1991']",['U.S. District Court for the District of New Jersey'],[],"['Fordham University, B.A., 1960Georgetown College (now Georgetown University) Law Center, J.D., 1963New York University School of Law, LL.M., 1969']",['George H.W. Bush'],['retirement']
"Cooper, Mary Little",https://www.fjc.gov/history/judges/cooper-mary-little,history/judges/cooper-mary-little,['1946'],"['February 27, 1992']",['U.S. District Court for the District of New Jersey'],[],"['Bryn Mawr College, A.B., 1968Villanova University School of Law, J.D., 1972']",['George H.W. Bush'],[]
"Irenas, Joseph Eron",https://www.fjc.gov/history/judges/irenas-joseph-eron,history/judges/irenas-joseph-eron,['1940'],"['April 8, 1992']",['U.S. District Court for the District of New Jersey'],['2015'],"['Princeton University, A.B., 1962Harvard Law School, J.D., 1965']",['George H.W. Bush'],"['certified disability on July 1, 2002. Service terminated on October 16, 2015, due to death']"
"Simandle, Jerome B.",https://www.fjc.gov/history/judges/simandle-jerome-b,history/judges/simandle-jerome-b,['1949'],"['May 21, 1992']",['U.S. District Court for the District of New Jersey'],[],"['Princeton University, B.S.E., 1971Stockholm University, Sweden, Diploma in Social Science, 1975University of Pennsylvania Law School, J.D., 1976']",['George H.W. Bush'],[]
"Walls, William H.",https://www.fjc.gov/history/judges/walls-william-h,history/judges/walls-william-h,['1932'],"['October 7, 1994']",['U.S. District Court for the District of New Jersey'],[],"['Dartmouth College, A.B., 1954Yale Law School, LL.B., 1957']",['William J. Clinton'],[]
"Orlofsky, Stephen Murray",https://www.fjc.gov/history/judges/orlofsky-stephen-murray,history/judges/orlofsky-stephen-murray,['1944'],"['December 22, 1995']",['U.S. District Court for the District of New Jersey'],[],"['City College of New York, B.A., 1965Rutgers School of Law -- Camden, J.D., 1974']",['William J. Clinton'],"['resignation.Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the District of New Jersey, 1976-198']"
"Greenaway, Joseph A., Jr.",https://www.fjc.gov/history/judges/greenaway-joseph-jr,history/judges/greenaway-joseph-jr,['1957'],"['July 16, 1996', 'February 9, 2010']",['U.S. District Court for the District of New Jersey'],[],"['Columbia College, B.A., 1978Harvard Law School, J.D., 1981']","['William J. Clinton', 'Barack Obama']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Third CircuitNominated by Barack Obama on June 19, 2009, to a seat vacated by Samuel A. Alito. Confirmed by the Senate on February 9, 2010, and received commission on February 12, 2010.']"
"Hayden, Katharine Sweeney",https://www.fjc.gov/history/judges/hayden-katharine-sweeney,history/judges/hayden-katharine-sweeney,['1942'],"['September 25, 1997']",['U.S. District Court for the District of New Jersey'],[],"['Marymount Manhattan College, B.A., 1963Seton Hall University, M.A., 1971Seton Hall University School of Law, J.D., 1975']",['William J. Clinton'],[]
"Hochberg, Faith S.",https://www.fjc.gov/history/judges/hochberg-faith-s,history/judges/hochberg-faith-s,['1950'],"['November 10, 1999']",['U.S. District Court for the District of New Jersey'],[],"['Tufts University, B.A., 1972Harvard Law School, J.D., 1975']",['William J. Clinton'],['retirement']
"Pisano, Joel A.",https://www.fjc.gov/history/judges/pisano-joel,history/judges/pisano-joel,['1949'],"['February 10, 2000']",['U.S. District Court for the District of New Jersey'],[],"['Lafayette College, B.A., 1971Seton Hall University School of Law, J.D., 1974']",['William J. Clinton'],"['retirement.Other Federal Judicial Service:U.S. Magistrate Judge, U.S. District Court for the District of New Jersey, 1991-200']"
"Cavanaugh, Dennis M.",https://www.fjc.gov/history/judges/cavanaugh-dennis-m,history/judges/cavanaugh-dennis-m,['1947'],"['July 21, 2000']",['U.S. District Court for the District of New Jersey'],[],"['Morehead State University, B.A., 1969Seton Hall University School of Law, J.D., 1972']",['William J. Clinton'],"['retirement.Other Federal Judicial Service:U.S. Magistrate Judge, U.S. District Court, District of New Jersey, 1993-200']"
"Martini, William J.",https://www.fjc.gov/history/judges/martini-william-j,history/judges/martini-william-j,['1947'],"['November 14, 2002']",['U.S. District Court for the District of New Jersey'],[],"['Villanova University, B.A., 1968Rutgers School of Law -- Newark, J.D., 1972']",['George W. Bush'],[]
"Linares, Jose L.",https://www.fjc.gov/history/judges/linares-jose-l,history/judges/linares-jose-l,['1953'],"['November 14, 2002']",['U.S. District Court for the District of New Jersey'],[],"['Jersey City State College (now Jersey City University), B.A., 1975Temple University School of Law, J.D., 1978']",['George W. Bush'],['retirement']
"Kugler, Robert B.",https://www.fjc.gov/history/judges/kugler-robert-b,history/judges/kugler-robert-b,['1950'],"['November 14, 2002']",['U.S. District Court for the District of New Jersey'],[],"['Syracuse University, B.A., 1975Rutgers School of Law -- Camden, J.D., 1978']",['George W. Bush'],[]
"Chesler, Stanley R.",https://www.fjc.gov/history/judges/chesler-stanley-r,history/judges/chesler-stanley-r,['1947'],"['November 14, 2002']",['U.S. District Court for the District of New Jersey'],[],"['State University of New York at Binghamton, Harpur College, B.A., 1968St. John`s University School of Law, J.D., 1974']",['George W. Bush'],[]
"Wolfson, Freda L.",https://www.fjc.gov/history/judges/wolfson-freda-l,history/judges/wolfson-freda-l,['1954'],"['November 14, 2002']",['U.S. District Court for the District of New Jersey'],[],"['Rutgers University, B.A., 1976Rutgers School of Law -- Newark, J.D., 1979']",['George W. Bush'],[]
"Hillman, Noel Lawrence",https://www.fjc.gov/history/judges/hillman-noel-lawrence,history/judges/hillman-noel-lawrence,['1956'],"['June 8, 2006']",['U.S. District Court for the District of New Jersey'],[],"['Monmouth University, B.A., 1981Seton Hall University School of Law, J.D., 1985New York University School of Law, LL.M., 1998']",['George W. Bush'],[]
"Wigenton, Susan Davis",https://www.fjc.gov/history/judges/wigenton-susan-davis,history/judges/wigenton-susan-davis,['1962'],"['May 26, 2006']",['U.S. District Court for the District of New Jersey'],[],"['Norfolk State University, B.A., 1984William and Mary Law School, J.D., 1987']",['George W. Bush'],[]
"Sheridan, Peter G.",https://www.fjc.gov/history/judges/sheridan-peter-g,history/judges/sheridan-peter-g,['1950'],"['June 8, 2006']",['U.S. District Court for the District of New Jersey'],[],"['St. Peter`s College, B.S., 1972Seton Hall University School of Law, J.D., 1977']",['George W. Bush'],[]
"Bumb, Renee Marie",https://www.fjc.gov/history/judges/bumb-renee-marie,history/judges/bumb-renee-marie,['1960'],"['June 6, 2006']",['U.S. District Court for the District of New Jersey'],[],"['Ohio State University, B.A., 1981University of Chicago, M.A., 1983Rutgers School of Law -- Newark, J.D., 1987']",['George W. Bush'],[]
"Cecchi, Claire Claudia",https://www.fjc.gov/history/judges/cecchi-claire-claudia,history/judges/cecchi-claire-claudia,['1964'],"['June 14, 2011']",['U.S. District Court for the District of New Jersey'],[],"['Barnard College, B.A., 1986Fordham University School of Law, J.D., 1989']",['Barack Obama'],[]
"Salas, Esther",https://www.fjc.gov/history/judges/salas-esther,history/judges/salas-esther,['1968'],"['June 14, 2011']",['U.S. District Court for the District of New Jersey'],[],"['Rutgers University, B.A., 1991Rutgers School of Law -- Newark, J.D., 1994']",['Barack Obama'],[]
"McNulty, Kevin",https://www.fjc.gov/history/judges/mcnulty-kevin,history/judges/mcnulty-kevin,['1954'],"['July 16, 2012']",['U.S. District Court for the District of New Jersey'],[],"['Yale University, B.A., 1976New York University School of Law, J.D., 1983']",['Barack Obama'],[]
"Shipp, Michael Andre",https://www.fjc.gov/history/judges/shipp-michael-andre,history/judges/shipp-michael-andre,['1965'],"['July 23, 2012']",['U.S. District Court for the District of New Jersey'],[],"['Rutgers University, B.S., 1987Seton Hall University School of Law, J.D., 1994']",['Barack Obama'],[]
"Arleo, Madeline Cox",https://www.fjc.gov/history/judges/arleo-madeline-cox,history/judges/arleo-madeline-cox,['1963'],"['November 20, 2014']",['U.S. District Court for the District of New Jersey'],[],"['Rutgers College, B.A., 1985Rutgers University, M.A., 1986Seton Hall University School of Law, J.D., 1989']",['Barack Obama'],[]
"Vazquez, John Michael",https://www.fjc.gov/history/judges/vazquez-john-michael,history/judges/vazquez-john-michael,['1970'],"['January 27, 2016']",['U.S. District Court for the District of New Jersey'],[],"['Rutgers University, B.A., 1992Seton Hall University School of Law, J.D., 1996']",['Barack Obama'],[]
"Martinotti, Brian R.",https://www.fjc.gov/history/judges/martinotti-brian-r,history/judges/martinotti-brian-r,['1961'],"['July 6, 2016']",['U.S. District Court for the District of New Jersey'],[],"['Fordham University, B.S., 1983Seton Hall University School of Law, J.D., 1986']",['Barack Obama'],[]
,,,[],[],[],[],[],[],[]
District of New Jersey,https://www.fjc.gov/history/courts/u.s.-district-court-district-new-jersey-judges,history/courts/u.s.-district-court-district-new-jersey-judges,[],[],[],[],[],[],[]
Eastern District,https://www.fjc.gov/history/courts/u.s.-district-court-eastern-district-new-jersey-judges,history/courts/u.s.-district-court-eastern-district-new-jersey-judges,[],[],[],[],[],[],[]
Western District,https://www.fjc.gov/history/courts/u.s.-district-court-western-district-new-jersey-judges,history/courts/u.s.-district-court-western-district-new-jersey-judges,[],[],[],[],[],[],[]
Chief Judges,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-new-jersey-chief-judges,history/courts/u.s.-district-courts-districts-new-jersey-chief-judges,[],[],[],[],[],[],[]
New Jersey Home Page,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-new-jersey,history/courts/u.s.-district-courts-districts-new-jersey,,,,,,,
Legislative History,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-new-jersey-legislative-history,history/courts/u.s.-district-courts-districts-new-jersey-legislative-history,[],[],[],[],[],[],[]
Succession Charts,https://www.fjc.gov/history/courts/us-district-courts-districts-new-jersey-succession-charts,history/courts/us-district-courts-districts-new-jersey-succession-charts,[],[],[],[],[],[],[]
Judicial District Organization,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-new-jersey-judicial-district-organization-1801-present,history/courts/u.s.-district-courts-districts-new-jersey-judicial-district-organization-1801-present,[],[],[],[],[],[],[]
Meeting Places,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-new-jersey-meeting-places,history/courts/u.s.-district-courts-districts-new-jersey-meeting-places,[],[],[],[],[],[],[]
Records and Bibliography,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-new-jersey-records-and-bibliography,history/courts/u.s.-district-courts-districts-new-jersey-records-and-bibliography,[],[],[],[],[],[],[]
"Pope, William Hayes",https://www.fjc.gov/history/judges/pope-william-hayes,history/judges/pope-william-hayes,['1870'],"['February 20, 1912']",['U.S. District Court for the District of New Mexico'],['1916'],"['University of Georgia, M.A., 1889University of Georgia School of Law, LL.B., 1890']",['William H. Taft'],"['death.Other Federal Judicial Service:Judge, Court of First Instance of the Philippine Islands, 1902-1903Justice, Supreme Court of New Mexico Territory, 1903-1912; chief justice, 1910-191']"
"Neblett, Colin",https://www.fjc.gov/history/judges/neblett-colin,history/judges/neblett-colin,['1875'],"['February 5, 1917']",['U.S. District Court for the District of New Mexico'],[],"['Washington and Lee University School of Law, LL.B., 1897']",['Woodrow Wilson'],['death']
"Phillips, Orie Leon",https://www.fjc.gov/history/judges/phillips-orie-leon,history/judges/phillips-orie-leon,['1885'],"['March 3, 1923', 'April 29, 1929']",['U.S. District Court for the District of New Mexico'],[],"['University of Michigan Law School, J.D., 1908']","['Warren G. Harding', 'Herbert Hoover']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Tenth CircuitNominated by Herbert Hoover on April 18, 1929, to a new seat authorized by 45 Stat. 1346. Confirmed by the Senate on April 29, 1929, and received commission on April 29, 1929. Served as chief judge, 1948-1956. Assumed senior status on January 1, 1956. Service terminated on November 14, 1974, due to death']"
"Hatch, Carl A.",https://www.fjc.gov/history/judges/hatch-carl,history/judges/hatch-carl,['1889'],"['January 17, 1949']",['U.S. District Court for the District of New Mexico'],['1963'],"['Cumberland School of Law, LL.B., 1912']",['Harry S Truman'],['death']
"Rogers, Waldo Henry",https://www.fjc.gov/history/judges/rogers-waldo-henry,history/judges/rogers-waldo-henry,['1908'],"['May 13, 1954']",['U.S. District Court for the District of New Mexico'],[],"['University of Colorado, A.B., 1930University of Colorado Law School, LL.B., 1931']",['Dwight D. Eisenhower'],['death']
"Payne, Harry Vearle",https://www.fjc.gov/history/judges/payne-harry-vearle,history/judges/payne-harry-vearle,['1908'],"['March 19, 1963']",['U.S. District Court for the District of New Mexico'],[],"['Read law, 1934']",['John F. Kennedy'],['death']
"Bratton, Howard C.",https://www.fjc.gov/history/judges/bratton-howard-c,history/judges/bratton-howard-c,['1922'],"['March 14, 1964']",['U.S. District Court for the District of New Mexico'],[],"['University of New Mexico, B.A., 1941Yale Law School, LL.B., 1947']",['Lyndon B. Johnson'],['death']
"Mechem, Edwin Leard",https://www.fjc.gov/history/judges/mechem-edwin-leard,history/judges/mechem-edwin-leard,['1912'],"['October 8, 1970']",['U.S. District Court for the District of New Mexico'],['2002'],"['University of Arkansas School of Law, LL.B., 1939']",['Richard M. Nixon'],['death']
"Campos, Santiago E.",https://www.fjc.gov/history/judges/campos-santiago-e,history/judges/campos-santiago-e,['1926'],"['July 10, 1978']",['U.S. District Court for the District of New Mexico'],['2001'],"['University of New Mexico School of Law, J.D., 1953']",['Jimmy Carter'],['death']
"Burciaga, Juan Guerrero",https://www.fjc.gov/history/judges/burciaga-juan-guerrero,history/judges/burciaga-juan-guerrero,['1929'],"['October 31, 1979']",['U.S. District Court for the District of New Mexico'],['1995'],"['U.S. Military Academy, B.S., 1952University of New Mexico School of Law, J.D., 1963']",['Jimmy Carter'],['death']
"Baldock, Bobby Ray",https://www.fjc.gov/history/judges/baldock-bobby-ray,history/judges/baldock-bobby-ray,['1936'],"['June 6, 1983', 'December 16, 1985']",['U.S. District Court for the District of New Mexico'],[],"['New Mexico Military Institute, 1956University of Arizona College of Law, J.D., 1960']","['Ronald Reagan', 'Ronald Reagan']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Tenth CircuitNominated by Ronald Reagan on October 7, 1985, to a seat vacated by Oliver Seth. Confirmed by the Senate on December 16, 1985, and received commission on December 17, 1985. Assumed senior status on January 26, 2001. Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court of Review, 1992-199']"
"Conway, John Edwards",https://www.fjc.gov/history/judges/conway-john-edwards,history/judges/conway-john-edwards,['1934'],"['June 13, 1986']",['U.S. District Court for the District of New Mexico'],['2014'],"['U.S. Naval Academy, B.S., 1956Washburn University School of Law, LL.B., 1963']",['Ronald Reagan'],"['death.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 2002-200']"
"Parker, James Aubrey",https://www.fjc.gov/history/judges/parker-james-aubrey,history/judges/parker-james-aubrey,['1937'],"['November 5, 1987']",['U.S. District Court for the District of New Mexico'],[],"['Rice Institute (now Rice University), B.A., 1959University of Texas School of Law, LL.B., 1962']",['Ronald Reagan'],[]
"Hansen, Curtis LeRoy",https://www.fjc.gov/history/judges/hansen-curtis-leroy,history/judges/hansen-curtis-leroy,['1933'],"['September 25, 1992']",['U.S. District Court for the District of New Mexico'],[],"['University of Iowa, B.S., 1956University of New Mexico School of Law, J.D., 1961']",['George H.W. Bush'],[]
"Vázquez, Martha Alicia",https://www.fjc.gov/history/judges/v%C3%A1zquez-martha-alicia,history/judges/v%C3%A1zquez-martha-alicia,['1953'],"['September 30, 1993']",['U.S. District Court for the District of New Mexico'],[],"['University of Notre Dame, B.A., 1975Notre Dame Law School, J.D., 1978']",['William J. Clinton'],[]
"Black, Bruce D.",https://www.fjc.gov/history/judges/black-bruce-d,history/judges/black-bruce-d,['1947'],"['December 22, 1995']",['U.S. District Court for the District of New Mexico'],[],"['Albion College, B.A., 1969University of Michigan Law School, J.D., 1971']",['William J. Clinton'],['retirement']
"Armijo, M. Christina",https://www.fjc.gov/history/judges/armijo-m-christina,history/judges/armijo-m-christina,['1951'],"['November 6, 2001']",['U.S. District Court for the District of New Mexico'],[],"['University of New Mexico, B.A., 1972University of New Mexico School of Law, J.D., 1975']",['George W. Bush'],[]
"Johnson, William Paul",https://www.fjc.gov/history/judges/johnson-william-paul,history/judges/johnson-william-paul,['1959'],"['December 13, 2001']",['U.S. District Court for the District of New Mexico'],[],"['Virginia Military Institute, B.A., 1981Washington and Lee University School of Law, J.D., 1985']",['George W. Bush'],[]
"Brack, Robert C.",https://www.fjc.gov/history/judges/brack-robert-c,history/judges/brack-robert-c,['1953'],"['July 14, 2003']",['U.S. District Court for the District of New Mexico'],[],"['Eastern New Mexico University, B.A., 1975University of New Mexico School of Law, J.D., 1978']",['George W. Bush'],[]
"Browning, James O.",https://www.fjc.gov/history/judges/browning-james-o,history/judges/browning-james-o,['1956'],"['July 31, 2003']",['U.S. District Court for the District of New Mexico'],[],"['Yale University, B.A., 1978University of Virginia School of Law, J.D., 1981']",['George W. Bush'],[]
"Herrera, Judith C.",https://www.fjc.gov/history/judges/herrera-judith-c,history/judges/herrera-judith-c,['1954'],"['June 3, 2004']",['U.S. District Court for the District of New Mexico'],[],"['University of New Mexico, B.A., 1976Georgetown University Law Center, J.D., 1979']",['George W. Bush'],[]
"Gonzales, Kenneth John",https://www.fjc.gov/history/judges/gonzales-kenneth-john,history/judges/gonzales-kenneth-john,['1964'],"['June 17, 2013']",['U.S. District Court for the District of New Mexico'],[],"['University of New Mexico, B.A., 1988University of New Mexico School of Law, J.D., 1994']",['Barack Obama'],[]
,,,[],[],[],[],[],[],[]
Chief Judges,https://www.fjc.gov/history/courts/u.s.-district-court-district-new-mexico-chief-judges,history/courts/u.s.-district-court-district-new-mexico-chief-judges,[],[],[],[],[],[],[]
New Mexico Home Page,https://www.fjc.gov/history/courts/u.s.-district-court-district-new-mexico,history/courts/u.s.-district-court-district-new-mexico,,,,,,,
